turn	depth	level
205	100	2
523	100	3
683	150	4
1289	250	5
1677	250	6
1897	300	7
2392	350	8
2793	350	9
3150	450	10
3580	450	11
4098	500	12
5323	600	13
6591	1050	14
6602	1050	15
6798	1100	16
7034	1100	17
7361	1150	18
9285	1300	19
10799	1400	20
10940	1400	21
11561	1400	22
12344	1450	23
13162	1450	24
14097	1450	25
14629	1750	26
15327	1750	27
16980	1850	28
18845	2050	29
20624	2150	30
21680	2350	31
27570	2500	32
29793	2500	33
33477	2950	34
36334	4000	35
38488	4100	36
41074	4350	37
43017	4550	38
45462	4900	39
45772	4900	40
47842	4900	41
